0.103 0.102 0.098 0.099 0.103 0.105 2400.833
0.104 0.103 0.099 0.099 0.104 0.106 2410.851
0.104 0.102 0.100 0.101 0.105 0.105 2420.871
0.107 0.108 0.101 0.102 0.107 0.108 2431.191
0.106 0.106 0.100 0.102 0.108 0.108 2441.279
0.108 0.106 0.101 0.103 0.108 0.108 2451.302
0.109 0.106 0.104 0.105 0.109 0.111 2461.325
0.109 0.110 0.104 0.103 0.108 0.111 2471.344
0.111 0.109 0.103 0.103 0.109 0.112 2481.367
0.114 0.110 0.105 0.104 0.112 0.114 2491.389
0.113 0.111 0.105 0.106 0.114 0.114 2501.416
0.112 0.111 0.105 0.106 0.111 0.113 2511.439
0.115 0.111 0.105 0.106 0.113 0.116 2521.462
0.117 0.114 0.109 0.109 0.115 0.119 2531.484
0.116 0.114 0.107 0.106 0.114 0.117 2541.505
0.116 0.114 0.110 0.107 0.117 0.119 2551.528
0.117 0.117 0.111 0.109 0.119 0.121 2561.550
0.118 0.118 0.109 0.110 0.119 0.120 2571.572
0.120 0.118 0.114 0.111 0.118 0.123 2581.595
0.120 0.117 0.113 0.111 0.119 0.122 2591.617
0.120 0.119 0.114 0.113 0.122 0.123 2601.640
0.123 0.121 0.115 0.111 0.121 0.123 2611.662
0.123 0.122 0.115 0.115 0.123 0.126 2621.680
0.121 0.120 0.115 0.114 0.122 0.128 2631.703
0.124 0.125 0.117 0.116 0.125 0.128 2641.726
0.127 0.123 0.117 0.115 0.127 0.127 2651.749
0.126 0.124 0.118 0.116 0.125 0.129 2661.772
0.127 0.125 0.120 0.118 0.128 0.128 2671.795
0.127 0.125 0.120 0.117 0.127 0.132 2681.817
