0.134 0.129 0.122 0.110 0.148 0.139 3300.935
0.134 0.129 0.124 0.113 0.147 0.137 3310.953
0.136 0.130 0.121 0.113 0.150 0.138 3320.975
0.136 0.130 0.124 0.113 0.151 0.139 3330.997
0.136 0.133 0.124 0.115 0.152 0.141 3341.019
0.138 0.130 0.123 0.113 0.151 0.142 3351.043
0.138 0.131 0.128 0.116 0.153 0.144 3361.065
0.139 0.132 0.126 0.119 0.155 0.144 3371.088
0.139 0.133 0.126 0.114 0.155 0.144 3381.111
0.140 0.134 0.128 0.116 0.155 0.145 3391.134
0.142 0.135 0.129 0.118 0.158 0.148 3401.157
0.140 0.136 0.127 0.119 0.159 0.147 3411.179
0.142 0.136 0.131 0.119 0.163 0.151 3421.202
0.141 0.134 0.129 0.117 0.161 0.151 3431.225
0.144 0.136 0.129 0.120 0.161 0.151 3441.248
0.144 0.138 0.130 0.120 0.162 0.154 3451.271
0.144 0.137 0.130 0.120 0.164 0.152 3461.293
0.145 0.139 0.133 0.121 0.165 0.153 3471.316
0.145 0.138 0.131 0.122 0.166 0.155 3481.339
0.145 0.139 0.133 0.122 0.166 0.157 3491.361
0.146 0.141 0.132 0.123 0.169 0.156 3501.384
0.148 0.142 0.133 0.125 0.169 0.156 3511.405
0.147 0.142 0.133 0.125 0.169 0.159 3521.429
0.147 0.144 0.134 0.125 0.171 0.158 3531.544
0.148 0.144 0.136 0.127 0.171 0.159 3541.588
0.152 0.145 0.134 0.128 0.172 0.160 3551.611
0.151 0.146 0.135 0.127 0.175 0.162 3561.634
0.152 0.144 0.137 0.129 0.176 0.163 3571.656
0.151 0.148 0.138 0.130 0.175 0.165 3581.678
