#vial	pump_rate[ml/s]
0	0.11564999999999999
1	0.11800000000000001
2	0.1443
3	0.1385
4	0.11495
5	0.09655000000000001
6	0.14165
7	0.1305
8	0.10769999999999999
9	0.11435000000000002
10	0.14505
11	0.10375
12	0.05415000000000001
13	0.13244999999999998
14	0.12505
