0.123 0.191 0.125 0.134 0.114 0.143 5704.484
0.124 0.190 0.127 0.134 0.115 0.145 5714.509
0.127 0.191 0.124 0.134 0.115 0.143 5724.530
0.126 0.193 0.126 0.134 0.115 0.144 5734.552
0.126 0.193 0.126 0.133 0.117 0.145 5744.574
0.128 0.193 0.126 0.133 0.118 0.144 5754.587
0.126 0.195 0.128 0.136 0.116 0.146 5764.599
0.127 0.197 0.128 0.136 0.116 0.147 5774.615
0.129 0.195 0.127 0.136 0.117 0.144 5784.711
0.127 0.199 0.126 0.136 0.118 0.144 5794.724
0.128 0.199 0.127 0.137 0.118 0.148 5804.736
0.128 0.200 0.126 0.138 0.118 0.144 5814.749
0.130 0.202 0.128 0.138 0.117 0.144 5824.761
0.129 0.204 0.130 0.138 0.117 0.146 5834.778
0.130 0.204 0.129 0.140 0.117 0.145 5844.801
0.130 0.205 0.132 0.141 0.117 0.144 5854.823
0.129 0.208 0.130 0.140 0.120 0.148 5864.845
0.131 0.207 0.129 0.140 0.118 0.147 5874.868
0.132 0.210 0.129 0.143 0.119 0.146 5884.887
0.134 0.209 0.131 0.144 0.119 0.147 5894.910
0.132 0.211 0.130 0.143 0.122 0.147 5904.932
0.132 0.213 0.129 0.143 0.121 0.148 5914.952
0.136 0.213 0.131 0.144 0.122 0.148 5924.968
0.133 0.215 0.132 0.144 0.121 0.149 5934.980
0.136 0.218 0.130 0.144 0.120 0.146 5944.993
0.134 0.217 0.131 0.148 0.121 0.148 5955.005
0.136 0.219 0.130 0.147 0.125 0.151 5965.018
0.135 0.222 0.129 0.145 0.124 0.149 5975.040
0.134 0.221 0.131 0.147 0.124 0.151 5985.060
