0.119 0.143 0.120 0.118 0.121 0.132 4804.390
0.119 0.141 0.122 0.119 0.119 0.132 4814.414
0.120 0.145 0.121 0.119 0.119 0.133 4824.437
0.121 0.144 0.122 0.120 0.121 0.134 4834.460
0.120 0.145 0.121 0.120 0.121 0.135 4844.483
0.122 0.146 0.122 0.120 0.121 0.134 4854.503
0.121 0.148 0.122 0.120 0.122 0.137 4864.598
0.123 0.148 0.122 0.121 0.122 0.137 4874.622
0.122 0.151 0.123 0.122 0.122 0.138 4884.641
0.122 0.151 0.126 0.121 0.123 0.138 4894.663
0.124 0.153 0.128 0.123 0.126 0.138 4904.684
0.123 0.153 0.126 0.123 0.125 0.142 4914.706
0.124 0.153 0.125 0.123 0.126 0.142 4924.733
0.124 0.156 0.127 0.123 0.126 0.141 4934.753
0.124 0.156 0.127 0.124 0.125 0.143 4944.776
0.127 0.158 0.126 0.125 0.126 0.144 4954.798
0.127 0.158 0.128 0.126 0.127 0.144 4964.821
0.126 0.159 0.129 0.126 0.126 0.145 4974.844
0.129 0.160 0.129 0.127 0.128 0.146 4984.866
0.127 0.162 0.128 0.127 0.129 0.150 4994.887
0.128 0.162 0.130 0.128 0.129 0.149 5004.926
0.130 0.165 0.127 0.128 0.129 0.149 5014.948
0.128 0.165 0.130 0.127 0.130 0.150 5024.965
0.130 0.165 0.130 0.129 0.132 0.153 5034.982
0.132 0.168 0.131 0.128 0.131 0.152 5044.999
0.131 0.169 0.134 0.130 0.130 0.154 5055.022
0.134 0.169 0.131 0.129 0.132 0.154 5065.045
0.134 0.170 0.134 0.130 0.135 0.154 5075.068
0.134 0.173 0.133 0.128 0.133 0.156 5085.091
